Path,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
"PointToPoint / legs / intermediateCalls / location / facility / facilityCode",facilityCode,string,yes,maxLength=6,"^\S(?:.*\S)?$",ADT,"The code used for identifying the specific facility. This code does not include the UN Location Code.The definition of the code depends on the `facilityCodeListProvider`. As code list providers maintain multiple codeLists the following codeList is used:
  - for `SMDG` - the codeList used is the [SMDG Terminal Code List](https://smdg.org/documents/smdg-code-lists/)
  - for `BIC`  - the codeList used is the [BIC Facility Codes](https://www.bic-code.org/facility-codes/)",
"PointToPoint / legs / intermediateCalls / location / facility / facilityCodeListProvider",facilityCodeListProvider,string,yes,,,SMDG,"The provider used for identifying the facility Code. Some facility codes are only defined in combination with an `UN Location Code`.
- `BIC` (Requires a UN Location Code)
- `SMDG` (Requires a UN Location Code)",
"PointToPoint / legs / intermediateCalls / location / facilityName",facilityName,string,,maxLength=100,,"Building 123","The name of the facility.",
"PointToPoint / legs / intermediateCalls / location / locationName",locationName,string,,maxLength=100,"^\S(?:.*\S)?$","Port of Amsterdam","An optional name for the location.",
"PointToPoint / legs / intermediateCalls / location / UNLocationCode",UNLocationCode,string,,"minLength=5
maxLength=5","^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
"PointToPoint / legs / intermediateCalls / transportCallReference",transportCallReference,string,,maxLength=100,,"SR11111X-9321483-2107W-NLAMS-ACT-1-1","The unique reference for the arrival transport call. It's the vessel operator's responsibility to provide the Transport Call Reference, other parties are obliged to pick it up and use it. It can take the form of Port Call References as defined in OVS Definitions Document, or alternatively a reference as defined by the vessel operator.",
"PointToPoint / legs / sequenceNumber",sequenceNumber,integer,,,,1,"Sequence number of the leg.",
"PointToPoint / legs / transport as BargeTransport","transport as BargeTransport",BargeTransport,,,,,"The mode of transport as defined by DCSA.",
"PointToPoint / legs / transport as BargeTransport / barge",barge,Barge,,,,,,
"PointToPoint / legs / transport as BargeTransport / barge / callSign",callSign,string,,maxLength=10,"^\S(?:.*\S)?$",NCVV,"A unique alphanumeric identity that belongs to the vessel and is assigned by the International Telecommunication Union (ITU). It consists of a three letter alphanumeric prefix that indicates nationality, followed by one to four characters to identify the individual vessel. For instance, vessels registered under Denmark are assigned the prefix ranges 5PA-5QZ, OUAOZZ, and XPA-XPZ. The Call Sign changes whenever a vessel changes its flag.",
"PointToPoint / legs / transport as BargeTransport / barge / flag",flag,string,,"minLength=2
maxLength=2","^[A-Z]{2}$",DE,"The flag of the nation whose laws the vessel is registered under. This is the ISO 3166 two-letter country code.",
"PointToPoint / legs / transport as BargeTransport / barge / MMSINumber",MMSINumber,string,,"minLength=9
maxLength=9","^\d{9}$",278111222,"Maritime Mobile Service Identities (MMSIs) are nine-digit numbers used by maritime digital selective calling (DSC), automatic identification systems (AIS) and certain other equipment to uniquely identify a ship or a coast radio station.",
"PointToPoint / legs / transport as BargeTransport / barge / name",name,string,,maxLength=50,"^\S(?:.*\S)?$","King of the Seas","The name of the Vessel given by the Vessel Operator and registered with IMO.",
"PointToPoint / legs / transport as BargeTransport / barge / operatorCarrierCode",operatorCarrierCode,string,,maxLength=10,,MAEU,"The carrier who is in charge of the vessel operation based on either the SMDG or SCAC code lists.",
"PointToPoint / legs / transport as BargeTransport / barge / operatorCarrierCodeListProvider","operatorCarrierCodeListProvider",string,,,,NMFTA,"Identifies the code list provider used for the operator and partner carriercodes.
- `SMDG` (Ship Message Design Group)
- `NMFTA` (National Motor Freight Traffic Association)",
"PointToPoint / legs / transport as BargeTransport / barge / vesselIMONumber",vesselIMONumber,string,,"minLength=7
maxLength=8","^\d{7,8}$",9321483,"The unique reference for a registered Vessel. The reference is the International Maritime Organisation (IMO) number, also sometimes known as the Lloyd's register code, which does not change during the lifetime of the vessel.",
"PointToPoint / legs / transport as BargeTransport / modeOfTransport",modeOfTransport,string,yes,,,BARGE,"The mode of transport as defined by DCSA. For the Barge Transport mode this needs to be `BARGE`.",
"PointToPoint / legs / transport as BargeTransport / portVisitReference",portVisitReference,string,,maxLength=50,,NLAMS1234589,"The unique reference that can be used to link different `transportCallReferences` to the same port visit. The reference is provided by the port to uniquely identify a port call.",
"PointToPoint / legs / transport as BargeTransport / servicePartners",servicePartners,"ServicePartner list",,,,,,
"PointToPoint / legs / transport as BargeTransport / servicePartners / carrierCode",carrierCode,string,,maxLength=4,"^\S+$",MAEU,"The carrier code based on either the SMDG or SCAC code lists.",
"PointToPoint / legs / transport as BargeTransport / servicePartners / carrierCodeListProvider",carrierCodeListProvider,string,,,,NMFTA,"Identifies the code list provider used for the `carrierCode`.
- `SMDG` (Ship Message Design Group)
- `NMFTA` (National Motor Freight Traffic Association)",
"PointToPoint / legs / transport as BargeTransport / servicePartners / carrierExportVoyageNumber","carrierExportVoyageNumber",string,,maxLength=50,"^\S(?:.*\S)?$",2103N,"The identifier of an export voyage. The carrier-specific identifier of the export Voyage.",
"PointToPoint / legs / transport as BargeTransport / servicePartners / carrierImportVoyageNumber","carrierImportVoyageNumber",string,,maxLength=50,"^\S(?:.*\S)?$",2103S,"The identifier of an import voyage. The carrier-specific identifier of the import Voyage.",
"PointToPoint / legs / transport as BargeTransport / servicePartners / carrierServiceCode",carrierServiceCode,string,,maxLength=11,"^\S(?:.*\S)?$",FE1,"The carrier-specific code of the service for which the schedule details are published.",
"PointToPoint / legs / transport as BargeTransport / servicePartners / carrierServiceName",carrierServiceName,string,,maxLength=50,"^\S(?:.*\S)?$","Great Lion Service","The name of the service.",
"PointToPoint / legs / transport as BargeTransport / transportCallReference",transportCallReference,string,,maxLength=100,,"SR11111X-9321483-2107W-NLAMS-ACT-1-1","The unique reference for a transport call. It's the vessel operator's responsibility to provide the Transport Call Reference, other parties are obliged to pick it up and use it. It can take the form of Port Call References as defined in OVS Definitions Document, or alternatively a reference as defined by the vessel operator.

**Deprecated:** Please use the `transportCallReference` (in **Departure** object) or `transportCallReference` (in **Arrival** object) in order to specify what the **TransportCall** is linked to. If provided in either `Arrival` or `Departure` object - this property must be ignored.",
"PointToPoint / legs / transport as BargeTransport / universalExportVoyageReference","universalExportVoyageReference",string,,"minLength=5
maxLength=5","^\d{2}[0-9A-Z]{2}[NEWSR]$",2103N,"A global unique voyage reference for the export Voyage, as per DCSA standard, agreed by VSA partners for the voyage.The voyage reference must match the regular expression pattern: `\d{2}[0-9A-Z]{2}[NEWSR]`

- `2 digits` for the year
- `2 alphanumeric characters` for the sequence number of the voyage
- `1 character` for the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip).",
"PointToPoint / legs / transport as BargeTransport / universalImportVoyageReference","universalImportVoyageReference",string,,"minLength=5
maxLength=5","^\d{2}[0-9A-Z]{2}[NEWSR]$",2103N,"A global unique voyage reference for the import Voyage, as per DCSA standard, agreed by VSA partners for the voyage.The voyage reference must match the regular expression pattern: `\d{2}[0-9A-Z]{2}[NEWSR]`

- `2 digits` for the year
- `2 alphanumeric characters` for the sequence number of the voyage
- `1 character` for the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip).",
"PointToPoint / legs / transport as BargeTransport / universalServiceReference","universalServiceReference",string,,"minLength=8
maxLength=8","^SR\d{5}[A-Z]$",SR12345A,"A global unique service reference, as per DCSA standard, agreed by VSA partners for the service. The service reference must match the regular expression pattern: `SR\d{5}[A-Z]`. The letters `SR` followed by `5` digits, followed by a checksum-character as a capital letter from `A to Z`.",
"PointToPoint / legs / transport as OtherTransport","transport as OtherTransport",OtherTransport,,,,,"The mode of transport as defined by DCSA.",
"PointToPoint / legs / transport as OtherTransport / modeOfTransport",modeOfTransport,string,yes,,,RAIL,"The mode of transport as defined by DCSA. The allowed values for the Other Transport mode are:
- `RAIL` (When the transport mode is Rail)
- `TRUCK`(When the transport mode is Truck)
- `RAIL_TRUCK`(When rail and truck are expected to be the mode of transport in a leg of a proposed routing)
- `BARGE_TRUCK`(When barge and truck are expected to be the mode of transport in a leg of a proposed routing)
- `BARGE_RAIL`(When barge and rail are expected to be the mode of transport in a leg of a proposed routing)
- `MULTIMODAL`(When mode of transport is not really defined or unknown at this stage)",
"PointToPoint / legs / transport as VesselTransport","transport as VesselTransport",VesselTransport,,,,,"The mode of transport as defined by DCSA.",
"PointToPoint / legs / transport as VesselTransport / modeOfTransport",modeOfTransport,string,yes,,,VESSEL,"The mode of transport as defined by DCSA. For the Vessel Transport mode this needs to be `VESSEL`.",
"PointToPoint / legs / transport as VesselTransport / portVisitReference",portVisitReference,string,,maxLength=50,,NLAMS1234589,"The unique reference that can be used to link different `transportCallReferences` to the same port visit. The reference is provided by the port to uniquely identify a port call.",
"PointToPoint / legs / transport as VesselTransport / servicePartners",servicePartners,"ServicePartner list",,,,,,
"PointToPoint / legs / transport as VesselTransport / servicePartners / carrierCode",carrierCode,string,,maxLength=4,"^\S+$",MAEU,"The carrier code based on either the SMDG or SCAC code lists.",
"PointToPoint / legs / transport as VesselTransport / servicePartners / carrierCodeListProvider",carrierCodeListProvider,string,,,,NMFTA,"Identifies the code list provider used for the `carrierCode`.
- `SMDG` (Ship Message Design Group)
- `NMFTA` (National Motor Freight Traffic Association)",
"PointToPoint / legs / transport as VesselTransport / servicePartners / carrierExportVoyageNumber","carrierExportVoyageNumber",string,,maxLength=50,"^\S(?:.*\S)?$",2103N,"The identifier of an export voyage. The carrier-specific identifier of the export Voyage.",
"PointToPoint / legs / transport as VesselTransport / servicePartners / carrierImportVoyageNumber","carrierImportVoyageNumber",string,,maxLength=50,"^\S(?:.*\S)?$",2103S,"The identifier of an import voyage. The carrier-specific identifier of the import Voyage.",
"PointToPoint / legs / transport as VesselTransport / servicePartners / carrierServiceCode",carrierServiceCode,string,,maxLength=11,"^\S(?:.*\S)?$",FE1,"The carrier-specific code of the service for which the schedule details are published.",
"PointToPoint / legs / transport as VesselTransport / servicePartners / carrierServiceName",carrierServiceName,string,,maxLength=50,"^\S(?:.*\S)?$","Great Lion Service","The name of the service.",
"PointToPoint / legs / transport as VesselTransport / transportCallReference",transportCallReference,string,,maxLength=100,,"SR11111X-9321483-2107W-NLAMS-ACT-1-1","The unique reference for a transport call. It's the vessel operator's responsibility to provide the Transport Call Reference, other parties are obliged to pick it up and use it. It can take the form of Port Call References as defined in OVS Definitions Document, or alternatively a reference as defined by the vessel operator.

**Deprecated:** Please use the `transportCallReference` (in **Departure** object) or `transportCallReference` (in **Arrival** object) in order to specify what the **TransportCall** is linked to. If provided in either `Arrival` or `Departure` object - this property must be ignored.",
"PointToPoint / legs / transport as VesselTransport / universalExportVoyageReference","universalExportVoyageReference",string,,"minLength=5
maxLength=5","^\d{2}[0-9A-Z]{2}[NEWSR]$",2103N,"A global unique voyage reference for the export Voyage, as per DCSA standard, agreed by VSA partners for the voyage. The voyage reference must match the regular expression pattern: `\d{2}[0-9A-Z]{2}[NEWSR]`

- `2 digits` for the year
- `2 alphanumeric characters` for the sequence number of the voyage
- `1 character` for the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip).",
