Path,Attribute,Type,Required,Size,Pattern,Example,Description
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / limits / SADT",SADT,"number(float)",,,,54.1,"Lowest temperature in which self-accelerating decomposition may occur in a substance"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / limits / SAPT",SAPT,"number(float)",,,,70.0,"Lowest temperature in which self-accelerating polymerization may occur in a substance"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / limits / temperatureUnit",temperatureUnit,string,,maxLength=3,,CEL,"The unit for **all attributes in the limits structure** in Celsius or Fahrenheit

- `CEL` (Celsius)
- `FAH` (Fahrenheit)"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / limits / transportControlTemperature","transportControlTemperature","number(float)",,,,24.1,"Maximum temperature at which certain substance (such as organic peroxides and self-reactive and related substances) can be safely transported for a prolonged period."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / limits / transportEmergencyTemperature","transportEmergencyTemperature","number(float)",,,,74.1,"Temperature at which emergency procedures shall be implemented"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / lithiumBatteryTransportCondition","lithiumBatteryTransportCondition",string,,maxLength=3,,DAM,"Indicates the transport condition of lithium cells or batteries transported under Special Provision 376 or 377. Allowed values:
- `DAM` (Damaged or defective)
- `DIS` (For disposal)
- `REC` (For recycling)"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / materialTemperatureAtPacking","materialTemperatureAtPacking","number(float)",,,,55,"Temperature of the material on the day of packing into the packaging, expressed in degrees Celsius (°C). Required for UN 1361."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / mfagReference",mfagReference,string,,maxLength=100,,"MFAG Table 620","Medical First Aid Guide reference applicable to the dangerous goods carried."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / NANumber",NANumber,string,,maxLength=4,,9037,"Four-digit number that is assigned to dangerous, hazardous, and harmful substances by the United States Department of Transportation."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / netExplosiveContent",netExplosiveContent,Weight,,,,,"The total weight of the explosive substances, without the packaging, casings, etc."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / netExplosiveContent / unit",unit,string,,maxLength=10,,KGM,"Measurement unit in which the weight `value` is expressed:
- `KGM` (Kilograms)
- `LBR` (Pounds)
- `GRM` (Grams)
- `ONZ` (Ounce)"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / netExplosiveContent / value",value,"number(float)",,,,2.4,"Weight value expressed in the measurement `unit`"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / netVolume",netVolume,Volume,,,,,"The volume of the referenced dangerous goods. Only applicable to liquids and gas."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / netVolume / unit",unit,string,,maxLength=10,,MTQ,"Measurement unit in which the volume `value` is expressed:
- `FTQ` (Cubic foot)
- `MTQ` (Cubic meter)
- `LTR` (Litre)"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / netVolume / value",value,"number(float)",,,,2.4,"Volume value expressed in the measurement `unit`"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / netWeight",netWeight,Weight,,,,,"Total weight of the goods carried, excluding packaging."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / netWeight / unit",unit,string,,maxLength=10,,KGM,"Measurement unit in which the weight `value` is expressed:
- `KGM` (Kilograms)
- `LBR` (Pounds)
- `GRM` (Grams)
- `ONZ` (Ounce)"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / netWeight / value",value,"number(float)",,,,2.4,"Weight value expressed in the measurement `unit`"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / packingGroup",packingGroup,"integer(int32)",,,,3,"The packing group according to the UN Recommendations on the Transport of Dangerous Goods and IMO IMDG Code."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / properShippingName",properShippingName,string,,maxLength=500,,"Chromium Trioxide, anhydrous","The proper shipping name for goods under IMDG Code, or the product name for goods under IBC Code and IGC Code, or the bulk cargo shipping name for goods under IMSBC Code, or the name of oil for goods under Annex I to the MARPOL Convention."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial",radioactiveMaterial,RadioactiveMaterial,,,,,"Contains regulatory information applicable to Class 7 radioactive material consignments in accordance with IMDG Code 5.4.1.5.7."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / fissileMaterial",fissileMaterial,FissileMaterial,,,,,"Contains additional regulatory information applicable to fissile radioactive material transported under IMDG Code Class 7 provisions."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / fissileMaterial / criticalitySafetyIndex",criticalitySafetyIndex,"number(float)",,,,2.0,"Criticality Safety Index (CSI) applicable to fissile radioactive material."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / fissileMaterial / fissileExceptionReference","fissileExceptionReference",string,,maxLength=100,,2.7.2.3.5.3,"Reference to applicable fissile exception paragraph, when shipped under IMDG 2.7.2.3.5.1 to 2.7.2.3.5.6."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / fissileMaterial / fissileMaterialMass",fissileMaterialMass,Weight,,,,,"Mass in grams of fissile material contained in the consignment (or mass of each fissile nuclide for mixtures when appropriate)."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / fissileMaterial / fissileMaterialMass / unit",unit,string,,maxLength=10,,KGM,"Measurement unit in which the weight `value` is expressed:
- `KGM` (Kilograms)
- `LBR` (Pounds)
- `GRM` (Grams)
- `ONZ` (Ounce)"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / fissileMaterial / fissileMaterialMass / value",value,"number(float)",,,,2.4,"Weight value expressed in the measurement `unit`"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / fissileMaterial / fissilePackageReference",fissilePackageReference,string,,maxLength=100,,"6.4.11.2(a)","Reference to applicable package paragraph for fissile material, when contained in a package for which one of 6.4.11.2 (a) to (c) or 6.4.11.3 is applied"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / fissileMaterial / totalFissileNuclideMass",totalFissileNuclideMass,Weight,,,,,"Total mass of fissile nuclides when shipped under 2.7.2.3.5.3 to 2.7.2.3.5.5 fissile exceptions."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / fissileMaterial / totalFissileNuclideMass / unit",unit,string,,maxLength=10,,KGM,"Measurement unit in which the weight `value` is expressed:
- `KGM` (Kilograms)
- `LBR` (Pounds)
- `GRM` (Grams)
- `ONZ` (Ounce)"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / fissileMaterial / totalFissileNuclideMass / value",value,"number(float)",,,,2.4,"Weight value expressed in the measurement `unit`"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / isExclusiveUseShipment",isExclusiveUseShipment,boolean,,,,,"Indicates that the radioactive material shipment must be shipped under exclusive use."
