Object,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
Address,countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
Address,floor,string,,maxLength=50,"^\S(?:.*\S)?$",N/A,"The floor of the street number.",
Address,POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
Address,postCode,string,,maxLength=10,,"1047 HM","The post code of the address.",
Address,stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
Address,street,string,yes,maxLength=70,,Ruijggoordweg,"The name of the street.",
Address,streetNumber,string,,maxLength=50,,100,"The number of the street.",
AdvanceManifestFiling,"advanceManifestFilingsHouseBLPerformedBy",string,yes,,,SELF,"Indicates whether the shipper (`SELF`) will perform the advance manifest filing(s) for the House BL directly or if the carrier (`CARRIER`) should file them on their behalf. Allowed values are:

- `SELF` (filing done by the House filer)
- `CARRIER` (the carrier does the filing)

In case of self-filing (`SELF`), the shipper can provide their `selfFilerCode` for each manifest.

**Condition:** The `selfFilerCode` must be provided when `manifestTypeCode` is one of `ACE` (US) or `ACI` (CA) and the `advanceManifestFilingsHouseBLPerformedBy` is set to `SELF`.",
AdvanceManifestFiling,countryCode,string,,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
AdvanceManifestFiling,identificationNumber,string,,maxLength=17,"^\S(?:.*\S)?$",FLXP-123321,"An identification number of the house filer responsible for submitting the `Advance Manifest Filing`.

**Condition:** Mandatory if `manifestTypeCode` is `ENS` and `advanceManifestFilingsHouseBLPerformedBy` is `SELF`.",
AdvanceManifestFiling,manifestTypeCode,string,yes,maxLength=50,"^\S(?:.*\S)?$",ENS,"The Manifest type code as defined by the provider.",
AdvanceManifestFiling,selfFilerCode,string,,maxLength=100,"^\S(?:.*\S)?$",FLXP,"Code identifying the party who will submit the advance manifest filing(s) for the House BL.

**Mandatory** if `manifestTypeCode` is one of `ACE` (US) or `ACI` (CA) and `advanceManifestFilingsHouseBLPerformedBy` is set to `SELF`.",
Buyer,address,Address,,,,,"An object for storing address-related information.",
Buyer,identifyingCodes,"IdentifyingCode list",,,,,,
Buyer,partyContactDetails,"PartyContactDetailWithPattern list",,,,,"A list of contact details",
Buyer,partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party.",
Buyer,taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`",
Buyer,typeOfPerson,string,yes,maxLength=50,"^\S(?:.*\S)?$",NATURAL_PERSON,"Can be one of the following values as per the Union Customs Code art. 5(4):
- `NATURAL_PERSON` (A person that is an individual living human being)
- `LEGAL_PERSON` (person (including a human being and public or private organizations) that can perform legal actions, such as own a property, sue and be sued)
- `ASSOCIATION_OF_PERSONS` (Not a legal person, but recognised under Union or National law as having the capacity to perform legal acts)",
BuyerHBL,address,Address,,,,,"An object for storing address-related information.",
BuyerHBL,identifyingCodes,"IdentifyingCode list",,,,,,
BuyerHBL,partyContactDetails,"PartyContactDetailHBL list",,,,,"A list of contact details",
BuyerHBL,partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party.",
BuyerHBL,taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`",
BuyerHBL,typeOfPerson,string,yes,maxLength=50,"^\S(?:.*\S)?$",NATURAL_PERSON,"Can be one of the following values as per the Union Customs Code art. 5(4):
- `NATURAL_PERSON` (A person that is an individual living human being)
- `LEGAL_PERSON` (person (including a human being and public or private organizations) that can perform legal actions, such as own a property, sue and be sued)
- `ASSOCIATION_OF_PERSONS` (Not a legal person, but recognised under Union or National law as having the capacity to perform legal acts)",
CargoGrossVolume,unit,string,yes,,,MTQ,"The unit of measure which can be expressed in imperial or metric terms:
- `FTQ` (Cubic foot)
- `MTQ` (Cubic meter)",
CargoGrossVolume,value,number,yes,minimum=0,,2.4,"Calculated by multiplying the width, height, and length of the packed cargo. A maximum of 4 decimals should be provided.",
CargoGrossWeight,unit,string,yes,,,KGM,"The unit of measure which can be expressed in imperial or metric terms:
- `KGM` (Kilograms)
- `LBR` (Pounds)",
CargoGrossWeight,value,number,yes,minimum=0,,2400,"The weight of the cargo item including packaging being carried in the container. Excludes the tare weight of the container. A maximum of 3 decimals should be provided.",
CargoItem,cargoGrossVolume,CargoGrossVolume,,,,,"Gross volume of the cargo.",
CargoItem,cargoGrossWeight,CargoGrossWeight,yes,,,,"Gross weight of the cargo.",
CargoItem,cargoNetVolume,CargoNetVolume,,,,,"Net volume of the cargo.",
CargoItem,cargoNetWeight,CargoNetWeight,,,,,"Net weight of the cargo.",
CargoItem,customsReferences,"CustomsReference list",,,,,"A list of `Customs references`",
CargoItem,equipmentReference,string,yes,maxLength=11,"^\S(?:.*\S)?$",APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.
According to [ISO 6346](https://www.iso.org/standard/83558.html), a container identification code consists of a 4-letter prefix and a 7-digit number (composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).

If a container does not comply with [ISO 6346](https://www.iso.org/standard/83558.html), it is suggested to follow [Recommendation #2: Containers with non-ISO identification](https://smdg.org/documents/smdg-recommendations) from SMDG.",
CargoItem,exportLicense,ExportLicense,,,,,"Export license applicable to this cargo item.",
CargoItem,importLicense,ImportLicense,,,,,"Import license applicable to this cargo item.",
CargoItem,nationalCommodityCodes,"NationalCommodityCode list",,,,,"A list of `National Commodity Codes` that apply to this `cargoItem`",
CargoItem,outerPackaging,OuterPackaging,yes,,,,"Packaging information for this cargo item.",
CargoItemHBL,cargoGrossWeight,CargoGrossWeight,yes,,,,"The weight of the cargo item including packaging, excluding the tare weight of the container.",
CargoItemHBL,equipmentReference,string,yes,maxLength=11,"^\S(?:.*\S)?$",APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.
According to [ISO 6346](https://www.iso.org/standard/83558.html), a container identification code consists of a 4-letter prefix and a 7-digit number (composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).

If a container does not comply with [ISO 6346](https://www.iso.org/standard/83558.html), it is suggested to follow [Recommendation #2: Containers with non-ISO identification](https://smdg.org/documents/smdg-recommendations) from SMDG.",
CargoItemHBL,outerPackaging,OuterPackagingHBL,yes,,,,"Object for outer packaging/overpack specification. Examples of overpacks are a number of packages stacked on to a pallet and secured by strapping or placed in a protective outer packaging such as a box or crate to form one unit for the convenience of handling and stowage during transport.",
CargoItemShipper,cargoGrossVolume,CargoGrossVolume,,,,,"Calculated by multiplying the width, height, and length of the packed cargo.",
CargoItemShipper,cargoGrossWeight,CargoGrossWeight,yes,,,,"The weight of the cargo item including packaging, excluding the tare weight of the container.",
CargoItemShipper,cargoNetVolume,CargoNetVolume,,,,,"Volume of the cargo excluding packaging. Calculated by multiplying width, height, and length.",
CargoItemShipper,cargoNetWeight,CargoNetWeight,,,,,"The weight of the cargo item excluding packaging and container tare weight.",
CargoItemShipper,customsReferences,"CustomsReference list",,,,,"A list of `Customs references`",
CargoItemShipper,equipmentReference,string,yes,maxLength=11,"^\S(?:.*\S)?$",APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.
According to [ISO 6346](https://www.iso.org/standard/83558.html), a container identification code consists of a 4-letter prefix and a 7-digit number (composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).

If a container does not comply with [ISO 6346](https://www.iso.org/standard/83558.html), it is suggested to follow [Recommendation #2: Containers with non-ISO identification](https://smdg.org/documents/smdg-recommendations) from SMDG.",
CargoItemShipper,exportLicense,ExportLicenseShipper,,,,,"`Export License` requirements

**Condition:** Subject to local customs requirements and commodity.",
CargoItemShipper,"houseBillOfLadingReference",string,,maxLength=20,"^\S(?:.*\S)?$",ABC123,"Link to the House Bill of Lading this cargoItem is connected to.",
CargoItemShipper,importLicense,ImportLicenseShipper,,,,,"`Import License` requirements

**Condition:** Subject to local customs requirements and commodity.",
CargoItemShipper,nationalCommodityCodes,"NationalCommodityCode list",,,,,"A list of `National Commodity Codes` that apply to this `cargoItem`",
CargoItemShipper,outerPackaging,OuterPackagingShipper,,,,,"Object for outer packaging/overpack specification. Examples of overpacks are a number of packages stacked on to a pallet and secured by strapping or placed in a protective outer packaging such as a box or crate to form one unit for the convenience of handling and stowage during transport.

**Condition:** Mandatory for non-dangerous goods cargo.",
CargoNetVolume,unit,string,yes,,,MTQ,"The unit of measure which can be expressed in imperial or metric terms:
- `FTQ` (Cubic foot)
- `MTQ` (Cubic meter)",
CargoNetVolume,value,number,yes,minimum=0,,2.4,"Calculated by multiplying the width, height, and length of the cargo, excluding packaging.",
CargoNetWeight,unit,string,yes,,,KGM,"The unit of measure which can be expressed in imperial or metric terms:
- `KGM` (Kilograms)
- `LBR` (Pounds)",
CargoNetWeight,value,number,yes,minimum=0,,2400,"The weight of the cargo item excluding packaging being carried in the container. Excludes the tare weight of the container. A maximum of 3 decimals should be provided.",
"CarriersAgentAtDestination",address,Address,yes,,,,"Physical address of the agent.",
"CarriersAgentAtDestination",partyContactDetails,"PartyContactDetail list",yes,,,,"A list of contact details",
"CarriersAgentAtDestination",partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party.",
Charge,calculationBasis,string,yes,maxLength=50,"^\S(?:.*\S)?$","Per day","The code specifying the measure unit used for the corresponding unit price for this cost, such as per day, per ton, per square metre.",
Charge,chargeName,string,yes,maxLength=50,"^\S(?:.*\S)?$","Documentation fee - Destination","Free text field describing the charge to apply",
Charge,currencyAmount,number,yes,minimum=0,,1012.12,"The monetary value of all freight and other service charges for a transport document, with a maximum of 2-digit decimals.",
Charge,currencyCode,string,yes,"minLength=3
maxLength=3","^[A-Z]{3}$",DKK,"The currency for the charge, using a 3-character code ([ISO 4217](https://www.iso.org/iso-4217-currency-codes.html)).",
Charge,paymentTermCode,string,yes,,,PRE,"An indicator of whether a charge is prepaid (PRE) or collect (COL). When prepaid, the charge is the responsibility of the shipper or the Invoice payer on behalf of the shipper (if provided). When collect, the charge is the responsibility of the consignee or the Invoice payer on behalf of the consignee (if provided).

- `PRE` (Prepaid)
- `COL` (Collect)",
Charge,quantity,number,yes,minimum=0,,34.4,"The amount of unit for this charge item.",
Charge,unitPrice,number,yes,minimum=0,,3456.6,"The unit price of this charge item in the currency of the charge.",
City,city,string,yes,maxLength=35,"^\S(?:.*\S)?$",Amsterdam,"The name of the city.",
City,countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
City,stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
Consignee,address,PartyAddress,,,,,"Physical address of the party.",
Consignee,displayedAddress,"string list",,"maxItems=6
maxLength=35",,,"The address of the party to be displayed on the `Transport Document`. The displayed address may be used to match the address provided in the `Letter of Credit`.

**Conditions:** If provided:
  - the displayed address must be included in the `Transport Document`.
  - for physical BL (`isElectronic=false`), it is only allowed to provide max 2 lines of 35 characters
  - for electronic BL (`isElectronic=true`), the limit is 6 lines of 35 characters
  - the order of the items in this array **MUST** be preserved as by the provider of the API.
Item description:
A single address line",
Consignee,identifyingCodes,"IdentifyingCode list",yes,minItems=1,,,,
Consignee,partyContactDetails,"PartyContactDetail list",,,,,"A list of contact details",
Consignee,partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party.",
Consignee,purchaseOrderReferences,"string list",,maxLength=35,"^\S(?:.*\S)?$",,"A list of `Purchase Order Reference`s linked to the `Consignee`.
Item description:
A purchase order reference linked to the `Consignee`.",
Consignee,reference,string,,maxLength=35,"^\S(?:.*\S)?$",HHL007,"A reference linked to the `Consignee`.",
Consignee,taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`",
Consignee,typeOfPerson,string,,maxLength=50,"^\S(?:.*\S)?$",NATURAL_PERSON,"Can be one of the following values as per the Union Customs Code art. 5(4):
- `NATURAL_PERSON` (A person that is an individual living human being)
- `LEGAL_PERSON` (person (including a human being and public or private organizations) that can perform legal actions, such as own a property, sue and be sued)
- `ASSOCIATION_OF_PERSONS` (Not a legal person, but recognised under Union or National law as having the capacity to perform legal acts)",
ConsigneeHBL,address,Address,,,,,"An object for storing address-related information.",
ConsigneeHBL,identifyingCodes,"IdentifyingCode list",,,,,,
ConsigneeHBL,partyContactDetails,"PartyContactDetailHBL list",,,,,"A list of contact details",
ConsigneeHBL,partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party.",
ConsigneeHBL,taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`",
ConsigneeHBL,typeOfPerson,string,yes,maxLength=50,"^\S(?:.*\S)?$",NATURAL_PERSON,"Can be one of the following values as per the Union Customs Code art. 5(4):
- `NATURAL_PERSON` (A person that is an individual living human being)
- `LEGAL_PERSON` (person (including a human being and public or private organizations) that can perform legal actions, such as own a property, sue and be sued)
- `ASSOCIATION_OF_PERSONS` (Not a legal person, but recognised under Union or National law as having the capacity to perform legal acts)",
ConsigneeShipper,address,PartyAddress,,,,,"Address where the party is located. Includes street details, postal info, and country/UN location codes.",
ConsigneeShipper,displayedAddress,"string list",,"maxItems=6
maxLength=35",,,"The address of the party to be displayed on the `Transport Document`. The displayed address may be used to match the address provided in the `Letter of Credit`.

**Conditions:** If provided:
  - the displayed address must be included in the `Transport Document`.
  - for physical BL (`isElectronic=false`), it is only allowed to provide max 2 lines of 35 characters
  - for electronic BL (`isElectronic=true`), the limit is 6 lines of 35 characters
  - the order of the items in this array **MUST** be preserved as by the provider of the API.
Item description:
A single address line",
ConsigneeShipper,identifyingCodes,"IdentifyingCode list",,,,,"**Condition:** Either the `address` or a party `identifyingCode` must be provided.",
ConsigneeShipper,partyContactDetails,"PartyContactDetail list",,,,,"A list of contact details",
ConsigneeShipper,partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party.",
ConsigneeShipper,purchaseOrderReferences,"string list",,maxLength=35,"^\S(?:.*\S)?$",,"A list of `Purchase Order Reference`s linked to the `Consignee`.
Item description:
A purchase order reference linked to the `Consignee`.",
ConsigneeShipper,reference,string,,maxLength=35,"^\S(?:.*\S)?$",HHL007,"A reference linked to the `Consignee`.",
ConsigneeShipper,taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`",
ConsigneeShipper,typeOfPerson,string,,maxLength=50,"^\S(?:.*\S)?$",NATURAL_PERSON,"Can be one of the following values as per the Union Customs Code art. 5(4):
- `NATURAL_PERSON` (A person that is an individual living human being)
- `LEGAL_PERSON` (person (including a human being and public or private organizations) that can perform legal actions, such as own a property, sue and be sued)
- `ASSOCIATION_OF_PERSONS` (Not a legal person, but recognised under Union or National law as having the capacity to perform legal acts)",
ConsignmentItem,cargoItems,"CargoItem list",yes,minItems=1,,,"A list of all `cargoItems`",
ConsignmentItem,carrierBookingReference,string,yes,maxLength=35,"^\S(?:.*\S)?$",ABC709951,"The associated booking number provided by the carrier for this `Consignment Item`.",
ConsignmentItem,customsReferences,"CustomsReference list",,,,,"A list of `Customs references`",
ConsignmentItem,descriptionOfGoods,"string list",yes,"maxItems=150
maxLength=35","^\S(?:.*\S)?$",,"A plain language description that is precise enough for Customs services to be able to identify the goods. General terms (i.e. 'consolidated', 'general cargo' 'parts' or 'freight of all kinds') or not sufficiently precise description cannot be accepted.

**Condition:** The order of the items in this array **MUST** be preserved as by the provider of the API.
Item description:
A line describing the cargo",
ConsignmentItem,exportLicense,ExportLicense,,,,,"Export license for the consignment item.",
ConsignmentItem,HSCodes,"string list",yes,"minItems=1
minLength=6
maxLength=10","^\d{6,10}$",,"A list of `HS Codes` that apply to this `consignmentItem`
Item description:
Used by customs to classify the product being shipped. The type of HS code depends on country and customs requirements. The code must be at least 6 and at most 10 digits.

More information can be found here: [HS Nomenclature](https://www.wcoomd.org/en/topics/nomenclature/instrument-and-tools).
",
ConsignmentItem,importLicense,ImportLicense,,,,,"Import license for the consignment item.",
ConsignmentItem,nationalCommodityCodes,"NationalCommodityCode list",,,,,"A list of `National Commodity Codes` that apply to this `commodity`",
ConsignmentItem,references,"ReferenceConsignmentItem list",,,,,"A list of `References`",
ConsignmentItem,shippingMarks,"string list",,"maxItems=50
maxLength=35",,,"A list of the `ShippingMarks` applicable to this `consignmentItem`

**Condition:** The order of the items in this array **MUST** be preserved as by the provider of the API.
Item description:
The identifying details of a package or the actual markings that appear on the package(s). This information is provided by the customer.
",
ConsignmentItemHBL,cargoItems,"CargoItemHBL list",yes,minItems=1,,,"A list of all `cargoItems`",
ConsignmentItemHBL,customsReferences,"CustomsReference list",,,,,"A list of `Customs references`",
ConsignmentItemHBL,descriptionOfGoods,string,yes,maxLength=512,"^\S(?:.*\S)?$","blue shoes size 47","A plain language description that is precise enough for Customs services to be able to identify the goods. General terms (i.e. 'consolidated', 'general cargo' 'parts' or 'freight of all kinds') or not sufficiently precise description cannot be accepted. Where the declarant provides the CUS code for chemical substances and preparations, Member States may waive the requirement of providing a precise description of the goods.",
ConsignmentItemHBL,nationalCommodityCode,NationalCommodityCode,yes,,,,"The national commodity classification code linked to a country with a value. Examples: NCM (Brazil), HTS (US), TARIC (EU).",
ConsignmentItemShipper,cargoItems,"CargoItemShipper list",yes,minItems=1,,,"A list of all `cargoItems`",
ConsignmentItemShipper,carrierBookingReference,string,yes,maxLength=35,"^\S(?:.*\S)?$",ABC709951,"The associated booking number provided by the carrier for this `Consignment Item`.",
ConsignmentItemShipper,commoditySubReference,string,,maxLength=100,"^\S(?:.*\S)?$",COM-001,"A unique reference to the commodity object assigned by the carrier in the booking confirmation. The reference must be provided by the shipper as part of the `Shipping Instructions` for the carrier to link this consignment item to the commodity. A commodity reference is only unique in the context of a booking.",
ConsignmentItemShipper,customsReferences,"CustomsReference list",,,,,"A list of `Customs references`",
ConsignmentItemShipper,descriptionOfGoods,"string list",yes,"maxItems=150
maxLength=35","^\S(?:.*\S)?$",,"A plain language description that is precise enough for Customs services to be able to identify the goods. General terms (i.e. 'consolidated', 'general cargo' 'parts' or 'freight of all kinds') or not sufficiently precise description cannot be accepted.

**Condition:** The order of the items in this array **MUST** be preserved as by the provider of the API.
Item description:
A line describing the cargo",
ConsignmentItemShipper,exportLicense,ExportLicenseShipper,,,,,,
ConsignmentItemShipper,HSCodes,"string list",yes,"minItems=1
minLength=6
maxLength=10","^\d{6,10}$",,"A list of `HS Codes` that apply to this `consignmentItem`
Item description:
Used by customs to classify the product being shipped. The type of HS code depends on country and customs requirements. The code must be at least 6 and at most 10 digits.

More information can be found here: [HS Nomenclature](https://www.wcoomd.org/en/topics/nomenclature/instrument-and-tools).
",
ConsignmentItemShipper,importLicense,ImportLicenseShipper,,,,,,
ConsignmentItemShipper,nationalCommodityCodes,"NationalCommodityCode list",,,,,"A list of `National Commodity Codes` that apply to this `commodity`",
ConsignmentItemShipper,references,"ReferenceConsignmentItem list",,,,,"A list of `References`",
ConsignmentItemShipper,shippingMarks,"string list",,"maxItems=50
maxLength=35",,,"A list of the `ShippingMarks` applicable to this `consignmentItem`

**Condition:** The order of the items in this array **MUST** be preserved as by the provider of the API.
Item description:
The identifying details of a package or the actual markings that appear on the package(s). This information is provided by the customer.
",
CustomsReference,countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
CustomsReference,type,string,yes,maxLength=50,"^\S(?:.*\S)?$",CUS,"The reference type code as defined in the relevant customs jurisdiction.",
CustomsReference,values,"string list",yes,"minItems=1
maxLength=35","^\S(?:.*\S)?$",,"
Item description:
The value of the `customsReference`",
DangerousGoods,codedVariantList,string,,"minLength=4
maxLength=4","^[0-3][0-9A-Z]{3}$",2200,"Four-character code supplied by Exis Technologies that assists to remove ambiguities when identifying a variant within a single UN number or NA number that may occur when two companies exchange DG information.

Character | Valid Characters | Description
:--------:|------------------|------------
1| 0, 1, 2, 3|The packing group. Code 0 indicates there is no packing group
2|0 to 9 and A to Z|A sequence letter for the PSN, or 0 if there were no alternative PSNs
3 and 4|0 to 9 and A to Z|Two sequence letters for other information, for the cases where the variant is required because of different in subrisks, packing instruction etc.",
DangerousGoods,"competentAuthorityApproval",string,,maxLength=70,"^\S(?:.*\S)?$","{Name and reference...}","Name and reference number of the competent authority providing the approval.",
DangerousGoods,emergencyContactDetails,EmergencyContactDetails,,,,,"24 hr emergency contact details",
DangerousGoods,EMSNumber,string,,maxLength=7,,"F-A S-Q","The emergency schedule identified in the IMO EmS Guide – Emergency Response Procedures for Ships Carrying Dangerous Goods. Comprises 2 values; 1 for spillage and 1 for fire. Possible values spillage: S-A to S-Z. Possible values fire: F-A to F-Z.",
DangerousGoods,endOfHoldingTime,"string(date)",,,,2021-09-03,"Date by when the refrigerated liquid needs to be delivered.",
DangerousGoods,fumigationDateTime,"string(date-time)",,,,2024-09-04T09:41Z,"Date & time when the container was fumigated",
DangerousGoods,grossWeight,GrossWeight,,,,,"Total weight of the goods carried, including packaging.",
DangerousGoods,imoClass,string,yes,maxLength=4,,1.4S,"The hazard class code of the referenced dangerous goods according to the specified regulation. Examples of possible values are:

- `1.1A` (Substances and articles which have a mass explosion hazard)
- `1.6N` (Extremely insensitive articles which do not have a mass explosion hazard)
- `2.1` (Flammable gases)
- `8` (Corrosive substances)",
DangerousGoods,inhalationZone,string,,"minLength=1
maxLength=1",,A,"The zone classification of the toxicity of the inhalant. Possible values are:

- `A` (Hazard Zone A) can be assigned to specific gases and liquids
- `B` (Hazard Zone B) can be assigned to specific gases and liquids
- `C` (Hazard Zone C) can **only** be assigned to specific gases
- `D` (Hazard Zone D) can **only** be assigned to specific gases",
DangerousGoods,innerPackagings,"InnerPackaging list",,,,,"A list of `Inner Packings` contained inside this `outer packaging/overpack`.",
DangerousGoods,"isCompetentAuthorityApprovalRequired",boolean,,,,false,"Indicates if the cargo require approval from authorities",
DangerousGoods,isEmptyUncleanedResidue,boolean,,,,false,"Indicates if the cargo is residue.",
DangerousGoods,isExceptedQuantity,boolean,,,,false,"Indicates if the dangerous goods can be transported as excepted quantity in accordance with Chapter 3.5 of the IMO IMDG Code.",
DangerousGoods,isHot,boolean,,,,false,"Indicates if high temperature cargo is shipped.",
DangerousGoods,isLimitedQuantity,boolean,,,,false,"Indicates if the dangerous goods can be transported as limited quantity in accordance with Chapter 3.4 of the IMO IMDG Code.",
DangerousGoods,isMarinePollutant,boolean,,,,false,"Indicates if the goods belong to the classification of Marine Pollutant.",
DangerousGoods,isReportableQuantity,boolean,,,,false,"Indicates if a container of hazardous material is at the reportable quantity level. If `true`, a report to the relevant authority must be made in case of spill.",
DangerousGoods,isSalvagePackings,boolean,,,,false,"Indicates if the cargo has special packaging for the transport, recovery or disposal of damaged, defective, leaking or nonconforming hazardous materials packages, or hazardous materials that have spilled or leaked.",
DangerousGoods,isWaste,boolean,,,,false,"Indicates if waste is being shipped",
DangerousGoods,limits,Limits,,,,,"Limits for the `Dangerous Goods`. The same `Temperature Unit` must apply to all attributes in this structure.",
DangerousGoods,NANumber,string,,"minLength=4
maxLength=4","^\d{4}$",9037,"Four-digit number that is assigned to dangerous, hazardous, and harmful substances by the United States Department of Transportation.",
DangerousGoods,netExplosiveContent,NetExplosiveContent,,,,,"The total weight of the explosive substances, without the packaging, casings, etc.",
DangerousGoods,netVolume,NetVolume,,,,,"The volume of the referenced dangerous goods. Only applicable to liquids and gas.",
DangerousGoods,netWeight,NetWeight,,,,,"Total weight of the goods carried, excluding packaging.",
DangerousGoods,packingGroup,integer,,"minimum=1
maximum=3",,3,"The packing group according to the UN Recommendations on the Transport of Dangerous Goods and IMO IMDG Code.",
DangerousGoods,properShippingName,string,yes,maxLength=250,,"Chromium Trioxide, anhydrous","The proper shipping name for goods under IMDG Code, or the product name for goods under IBC Code and IGC Code, or the bulk cargo shipping name for goods under IMSBC Code, or the name of oil for goods under Annex I to the MARPOL Convention.",
DangerousGoods,segregationGroups,"string list",,maxLength=2,,,"List of the segregation groups applicable to specific hazardous goods according to the IMO IMDG Code.

**Condition:** only applicable to specific hazardous goods.
Item description:
Grouping of Dangerous Goods having certain similar chemical properties. Possible values are:

- `1` (Acids)
- `2` (Ammonium Compounds)
- `3` (Bromates)
- `4` (Chlorates)
- `5` (Chlorites)
- `6` (Cyanides)
- `7` (Heavy metals and their salts)
- `8` (Hypochlorites)
- `9` (Lead and its compounds)
- `10` (Liquid halogenated hydrocarbons)
- `11` (Mercury and mercury compounds)
- `12` (Nitrites and their mixtures)
- `13` (Perchlorates)
- `14` (Permanganates)
- `15` (Powdered metals)
- `16` (Peroxides),
- `17` (Azides)
- `18` (Alkalis)
",
DangerousGoods,subsidiaryRisk1,string,,"minLength=1
maxLength=3","^[0-9](\.[0-9])?$",1.2,"Any risk in addition to the class of the referenced dangerous goods according to the IMO IMDG Code.",
DangerousGoods,subsidiaryRisk2,string,,"minLength=1
maxLength=3","^[0-9](\.[0-9])?$",1.2,"Any risk in addition to the class of the referenced dangerous goods according to the IMO IMDG Code.",
DangerousGoods,technicalName,string,,maxLength=250,,"xylene and benzene","The recognized chemical or biological name or other name currently used for the referenced dangerous goods as described in chapter 3.1.2.8 of the IMDG Code.",
DangerousGoods,UNNumber,string,,"minLength=4
maxLength=4","^\d{4}$",1463,"United Nations Dangerous Goods Identifier (UNDG) assigned by the UN Sub-Committee of Experts on the Transport of Dangerous Goods and shown in the IMO IMDG.",
